Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster,PC1,PC2,PC3,PC4
45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,2,1.2360817859671622,-1.8791485587396917,-2.161789993844779,1.6761614927471977
49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,-0.9761999502263953,0.9003004919871941,-1.4583979225773285,1.8481948059840665
51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2,0.6893890950269187,-1.2978080633496318,-3.1404474156256454,3.493486199220687
40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,-2.4200833901589878,0.7881275101649157,-2.5719305295209907,1.9636653083818296
40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2,0.5134661011367415,-0.7742349121603018,-4.94185672376,2.073282166495648
44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,3,-0.6306979715725033,-1.6954971986924947,-1.7989489076650298,1.2411471168085928
51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,1,4.0497918504171215,-1.5106801517354636,-0.8470307988308239,2.441279725156589
32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,1,4.208592669763371,0.02216901535866719,-2.961508423848436,0.3044494255682898
37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,2,2.110900065818806,-0.297246661442947,-3.605336901100536,1.6134065020983255
48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,2,1.242299642962321,-1.7176402573399716,-0.6390241435308077,-0.3966953263080367
42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,2,0.20445664591936955,-0.9186759813536742,-1.4519349270927904,-0.901430438466527
65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,3,-0.22819397425404606,-2.96756436569303,0.788320997169535,2.8253189585780376
56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,2,1.6080283261007853,-0.20793161978044328,-2.1585138857433495,3.2615185534136346
35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,2,0.6855445892065809,-0.6752791500113018,-3.537492390503264,0.4764322025802272
57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,-1.9771446968975155,-1.9105829270588603,1.0992499297083242,1.0998339180875076
44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,2,0.5857033306268521,-1.1180207495056993,-2.555312431928133,1.0366233408986893
48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,1,3.3394603643354146,-1.5102076890553693,-1.3214805787529644,0.05690930735868437
41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,2,1.394919427432822,-1.9679063273953654,-1.6732717913143327,1.0653572633047204
61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,3,-1.4942725378692552,-1.9710407175690243,0.12874497655169026,4.218127344597697
45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,3,0.07117568752704473,-1.8615517927219176,-0.5837405747313797,0.13351101346069671
47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,2,1.8337020970537548,-1.9014832906728043,-0.010010694409450835,0.5498280430331246
62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,-1.6759387406144897,-2.415966062860468,2.406273471334409,0.6047031920524094
41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,3,-0.35321649257209264,-1.5062405141288107,-2.846921830532518,1.5143800465023776
47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,-2.2015260191284742,-0.34834062646527464,0.8086565908894608,-1.7380319002777505
54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,2,1.5717541807457194,-3.1332873127105554,0.13462816180226395,0.5685254697749754
41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,-1.291300140632703,-0.37111000632195257,-0.7916387311175869,-1.9749227985880204
59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,3,0.8271484296691246,-1.7524943630351002,0.5952232309074672,1.0678592887214475
63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,2,0.8121103992445132,-2.6100941686821746,1.7824032884226726,2.2879133304414756
44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,3,0.09980439898566495,-0.639899078901009,0.32597110082571057,-2.2706877023464243
47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,3,-0.574947822104995,-1.7940348256491878,-1.2028371959976896,1.3341613231548277
53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,2,-0.4479715186381126,-1.4119505001598986,-2.3288226916571126,3.1470859030928278
53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,2,-0.7938188848368436,-1.7379304593355258,-0.5724473978239341,3.3102382150741514
41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,2,0.35336434681776513,-1.3603254169965473,-3.5038525054762064,2.709375637068275
53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,-2.3792601814461176,-1.3417707311349076,-0.9080003658472373,1.7731404728304923
58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,2,1.0030650985066074,-3.5316424774848914,1.219126922688381,1.4594011541043734
55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,-2.1382888266338784,-0.09699689696016892,1.5711127548415713,-0.8979482257603267
55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,-2.6717469726488927,-0.9852524476739719,-1.3657268799974251,2.4603503338382695
42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,1,1.2075835811128321,-0.28286053309206916,-0.3617602199887213,0.17420586021199622
